land_id,side,signal,die_pad,land_x_mm,land_y_mm,die_x_um,die_y_um
B5,B,RSSI_L,B7,-23.558,-31.204,745.415,-4925.771
B6,B,VDD18D,B8,-22.358,-31.204,838.516,-4925.771
B7,B,RSSI_R,B9,-21.158,-31.204,931.615,-4925.771
B8,B,VDD08PA,B21,-19.958,-31.204,2131.624,-4925.771
B9,B,VSS,B22,-18.758,-31.204,2245.426,-4925.771
B10,B,VDD08PA_SNS,B23,-17.558,-31.204,2338.526,-4925.771
B11,B,VDD08TIA,B24,-16.358,-31.204,2431.626,-4925.771
B12,B,VSSTIA,B25,-15.158,-31.204,2545.428,-4925.771
B13,B,VDD08,B26,-13.958,-31.204,2638.528,-4925.771
B14,B,VDD08D,B27,-12.758,-31.204,2731.628,-4925.771
B15,B,VDD08PA,B28,-11.558,-31.204,2845.430,-4925.771
B16,B,VDD08,B29,-10.358,-31.204,2938.530,-4925.771
B17,B,VSSTIA,B30,-9.158,-31.204,3031.630,-4925.771
B18,B,VDD08TIA,B31,-7.958,-31.204,3145.432,-4925.771
B19,B,VDD08TIA_SNS,B32,-6.758,-31.204,3238.532,-4925.771
B20,B,VSS,B33,-5.558,-31.204,3331.628,-4925.771
B21,B,VDD08PA,B34,-4.358,-31.204,3445.434,-4925.771
B22,B,VDD18_BG<0>,B35,-3.158,-31.204,3538.534,-4925.771
B23,B,VSS,B36,-1.958,-31.204,3631.634,-4925.771
B24,B,VDD08PA,B37,-0.758,-31.204,3745.436,-4925.771
B25,B,VDD08DLL<2>,B38,0.442,-31.204,3838.536,-4925.771
B26,B,VDD18PLL<2>,B39,1.642,-31.204,3931.636,-4925.771
B27,B,VSS,B40,2.842,-31.204,4045.432,-4925.771
B28,B,CLKEXTM<0>,B41,4.042,-31.204,4138.538,-4925.771
B29,B,VDD18PLL<3>,B42,5.242,-31.204,4231.638,-4925.771
